Language	GrammarLanguage	Grammar	Length
Afrikaans	Afrikaans	3574450	6.117329869106381
Afrikaans	Amharic-Adap	247583	6.1299289390399
Afrikaans	Ancient_Greek	8902702	6.083448916748156
Afrikaans	Arabic	3747718	6.041410630644505
Afrikaans	Armenian-Adap	3238389	6.078018454924134
Afrikaans	Basque	4562950	6.058102637046965
Afrikaans	Belarusian	3637906	6.055456896515991
Afrikaans	Breton-Adap	3986868	6.058990947729379
Afrikaans	Bulgarian	9974465	6.060614121293508
Afrikaans	Buryat-Adap	7173922	6.105856653513443
Afrikaans	Cantonese-Adap	3410404	6.180263091361519
Afrikaans	Catalan	6252346	6.01569846961805
Afrikaans	Chinese	2284356	6.1937744129855785
Afrikaans	Coptic	9568682	6.008495415909335
Afrikaans	Croatian	3881311	6.0579493875630535
Afrikaans	Czech	7741972	6.052036811432957
Afrikaans	Danish	7430046	6.038549073603912
Afrikaans	Dutch	8352231	6.073303322174458
Afrikaans	English	3723683	6.058940704178806
Afrikaans	Estonian	261273	6.154920695215538
Afrikaans	Faroese-Adap	1799491	6.064166301381336
Afrikaans	Finnish	1361624	6.144772077691139
Afrikaans	French	3310791	6.0162994923927275
Afrikaans	Galician	6991995	6.011379340452991
Afrikaans	German	2860	6.104441419194584
Afrikaans	Gothic	5411972	6.04197938975025
Afrikaans	Greek	1162797	6.077246490903151
Afrikaans	Hebrew	8863015	6.01236709617378
Afrikaans	Hindi	3134571	6.04497818368656
Afrikaans	Hungarian	1003524	6.0900268756209455
Afrikaans	Indonesian	4621596	6.055934445280708
Afrikaans	Irish	9479903	6.029369385549889
Afrikaans	Italian	7883030	6.020043697460022
Afrikaans	Japanese	8706559	6.04557817989488
Afrikaans	Kazakh-Adap	6938961	6.084305079350443
Afrikaans	Korean	6612019	6.077352372326926
Afrikaans	Kurmanji-Adap	3866003	6.097866259225237
Afrikaans	Latin	2824321	6.071615911711001
Afrikaans	Latvian	2359012	6.146106583765174
Afrikaans	Lithuanian	3088697	6.121998261686821
Afrikaans	Marathi	9615039	6.1009018100722185
Afrikaans	Naija-Adap	5335571	6.088094798017704
Afrikaans	North_Sami	4402631	6.162752510548929
Afrikaans	Norwegian	7523351	6.0461937953244655
Afrikaans	Old_Church_Slavonic	5293884	6.080705768318448
Afrikaans	Persian	3499803	6.047132205511381
Afrikaans	Polish	7423274	6.079567454875793
Afrikaans	Polish-LFG	8090407	6.069537345188786
Afrikaans	Portuguese	1222129	6.020353577971872
Afrikaans	Romanian	4667639	6.021440447280359
Afrikaans	Russian	9493679	6.073330843666736
Afrikaans	Serbian	9504069	6.056002213605986
Afrikaans	Slovak	8148457	6.055911323131168
Afrikaans	Slovenian	3939046	6.094068508004936
Afrikaans	Spanish	2102241	6.018953736311131
Afrikaans	Swedish	1253956	6.041231018085372
Afrikaans	Tamil	4547053	6.102385910731742
Afrikaans	Telugu	1396888	6.031452462854164
Afrikaans	Thai-Adap	1453465	6.045162015640125
Afrikaans	Turkish	8110084	6.075972564313873
Afrikaans	Ukrainian	8263084	6.054293858609246
Afrikaans	Urdu	4712606	6.087353351621762
Afrikaans	Uyghur-Adap	484295	6.058400617834702
Afrikaans	Vietnamese	5585751	6.053078798724442
Ancient_Greek	Afrikaans	3574450	7.042762949015534
Ancient_Greek	Amharic-Adap	247583	7.0126152378112465
Ancient_Greek	Ancient_Greek	8902702	6.980453644593603
Ancient_Greek	Arabic	3747718	6.9318279501144575
Ancient_Greek	Armenian-Adap	3238389	6.975896545603697
Ancient_Greek	Basque	4562950	6.941253186508727
Ancient_Greek	Belarusian	3637906	6.994463908860905
Ancient_Greek	Breton-Adap	3986868	7.004716319556458
Ancient_Greek	Bulgarian	9974465	6.982283950377386
Ancient_Greek	Buryat-Adap	7173922	7.043885093463969
Ancient_Greek	Cantonese-Adap	3410404	7.0330485212674665
Ancient_Greek	Catalan	6252346	6.977408337393679
Ancient_Greek	Chinese	2284356	7.106246878742366
Ancient_Greek	Coptic	9568682	6.996829356856384
Ancient_Greek	Croatian	3881311	6.936977282854497
Ancient_Greek	Czech	7741972	6.9346613599717
Ancient_Greek	Danish	7430046	6.975716009197959
Ancient_Greek	Dutch	8352231	7.01862479243326
Ancient_Greek	English	3723683	6.950939296944949
Ancient_Greek	Estonian	261273	7.009163339246386
Ancient_Greek	Faroese-Adap	1799491	6.979647104311829
Ancient_Greek	Finnish	1361624	6.985017900340929
Ancient_Greek	French	3310791	6.955967960065004
Ancient_Greek	Galician	6991995	7.005706607862484
Ancient_Greek	German	2860	7.0119437320348785
Ancient_Greek	Gothic	5411972	7.0004631542551445
Ancient_Greek	Greek	1162797	6.9590661496016475
Ancient_Greek	Hebrew	8863015	6.984672082474312
Ancient_Greek	Hindi	3134571	7.014133879902356
Ancient_Greek	Hungarian	1003524	7.0193560502696934
Ancient_Greek	Indonesian	4621596	6.9893268067403
Ancient_Greek	Irish	9479903	6.9762135879379725
Ancient_Greek	Italian	7883030	6.9687199365674
Ancient_Greek	Japanese	8706559	7.036273088721797
Ancient_Greek	Kazakh-Adap	6938961	6.964545720773985
Ancient_Greek	Korean	6612019	6.90392351016022
Ancient_Greek	Kurmanji-Adap	3866003	6.938649856828777
Ancient_Greek	Latin	2824321	6.922821959936532
Ancient_Greek	Latvian	2359012	6.99532725261918
Ancient_Greek	Lithuanian	3088697	7.005611694579825
Ancient_Greek	Marathi	9615039	6.9903854214180905
Ancient_Greek	Naija-Adap	5335571	7.017856710365007
Ancient_Greek	North_Sami	4402631	7.090128365396932
Ancient_Greek	Norwegian	7523351	6.9461450624214125
Ancient_Greek	Old_Church_Slavonic	5293884	6.98552942457843
Ancient_Greek	Persian	3499803	6.970288094457139
Ancient_Greek	Polish	7423274	6.994073876837462
Ancient_Greek	Polish-LFG	8090407	6.9854864731630055
Ancient_Greek	Portuguese	1222129	6.935697075303496
Ancient_Greek	Romanian	4667639	6.9364429257939895
Ancient_Greek	Russian	9493679	6.933902362985695
Ancient_Greek	Serbian	9504069	6.954805425685809
Ancient_Greek	Slovak	8148457	6.948186870606887
Ancient_Greek	Slovenian	3939046	6.964546868252147
Ancient_Greek	Spanish	2102241	6.985158825457325
Ancient_Greek	Swedish	1253956	6.9496066980955
Ancient_Greek	Tamil	4547053	7.044040963642653
Ancient_Greek	Telugu	1396888	7.012681906979279
Ancient_Greek	Thai-Adap	1453465	7.028789753172069
Ancient_Greek	Turkish	8110084	6.967992029645095
Ancient_Greek	Ukrainian	8263084	6.943054446954369
Ancient_Greek	Urdu	4712606	6.984871851793815
Ancient_Greek	Uyghur-Adap	484295	6.9617562931178405
Ancient_Greek	Vietnamese	5585751	7.016077477827434
Arabic	Afrikaans	3574450	6.793048365445688
Arabic	Amharic-Adap	247583	6.924702593002952
Arabic	Ancient_Greek	8902702	6.720476065063407
Arabic	Arabic	3747718	6.615988597114231
Arabic	Armenian-Adap	3238389	6.741154212695142
Arabic	Basque	4562950	6.721398262598817
Arabic	Belarusian	3637906	6.7141941753218335
Arabic	Breton-Adap	3986868	6.661275513733867
Arabic	Bulgarian	9974465	6.743605907954192
Arabic	Buryat-Adap	7173922	6.776715109323583
Arabic	Cantonese-Adap	3410404	6.930445511180272
Arabic	Catalan	6252346	6.66893935126063
Arabic	Chinese	2284356	6.941579155539757
Arabic	Coptic	9568682	6.69360170713031
Arabic	Croatian	3881311	6.7157620031297665
Arabic	Czech	7741972	6.724596524915051
Arabic	Danish	7430046	6.7007053193710675
Arabic	Dutch	8352231	6.777869652444559
Arabic	English	3723683	6.726094592042634
Arabic	Estonian	261273	6.76861172762477
Arabic	Faroese-Adap	1799491	6.724744488403899
Arabic	Finnish	1361624	6.781699547041433
Arabic	French	3310791	6.680620567104351
Arabic	Galician	6991995	6.714426289153619
Arabic	German	2860	6.746797237888294
Arabic	Gothic	5411972	6.692396620212304
Arabic	Greek	1162797	6.725250910930303
Arabic	Hebrew	8863015	6.664005075266477
Arabic	Hindi	3134571	6.7536852290247475
Arabic	Hungarian	1003524	6.733643378649377
Arabic	Indonesian	4621596	6.68569472601547
Arabic	Irish	9479903	6.665523448187625
Arabic	Italian	7883030	6.683815591407406
Arabic	Japanese	8706559	6.784993661441707
Arabic	Kazakh-Adap	6938961	6.756574752632109
Arabic	Korean	6612019	6.7112826275325626
Arabic	Kurmanji-Adap	3866003	6.752825135686652
Arabic	Latin	2824321	6.750936852847499
Arabic	Latvian	2359012	6.900211360824947
Arabic	Lithuanian	3088697	6.901476518763972
Arabic	Marathi	9615039	6.744594778621196
Arabic	Naija-Adap	5335571	6.873620389238414
Arabic	North_Sami	4402631	6.816431318701821
Arabic	Norwegian	7523351	6.724705360621446
Arabic	Old_Church_Slavonic	5293884	6.67403393405767
Arabic	Persian	3499803	6.750688209286638
Arabic	Polish	7423274	6.738881968261288
Arabic	Polish-LFG	8090407	6.7444624583207755
Arabic	Portuguese	1222129	6.678798097939937
Arabic	Romanian	4667639	6.698168102974743
Arabic	Russian	9493679	6.716034878605189
Arabic	Serbian	9504069	6.727776800636233
Arabic	Slovak	8148457	6.742844452140945
Arabic	Slovenian	3939046	6.731002146370732
Arabic	Spanish	2102241	6.66660211883395
Arabic	Swedish	1253956	6.7244766713246085
Arabic	Tamil	4547053	6.747832125428314
Arabic	Telugu	1396888	6.692280144101095
Arabic	Thai-Adap	1453465	6.675395269939921
Arabic	Turkish	8110084	6.698079081963193
Arabic	Ukrainian	8263084	6.7273928418928435
Arabic	Urdu	4712606	6.756937306470032
Arabic	Uyghur-Adap	484295	6.746768088955039
Arabic	Vietnamese	5585751	6.710016146812325
Basque	Afrikaans	3574450	7.094070298700053
Basque	Amharic-Adap	247583	6.982240439315921
Basque	Ancient_Greek	8902702	7.049347699458094
Basque	Arabic	3747718	6.950948660408528
